method,class,avg_binary_f1
sbert,0,0.5222399999999999
sbert,1,0.5222399999999999
sroberta,0,0.558
sroberta,1,0.558
mpnet,0,0.6029249999999999
mpnet,1,0.6029249999999999
minilm,0,0.546475
minilm,1,0.546475
e5,0,0.6131599999999999
e5,1,0.6131599999999999
instructor,0,0.606425
instructor,1,0.606425
bge,0,0.60585
bge,1,0.60585
gte,0,0.60696
gte,1,0.60696
w2v_self,0,0.49206666666666665
w2v_self,1,0.49206666666666665
w2v_pretrained,0,0.33368000000000003
w2v_pretrained,1,0.33368000000000003
fasttext_pretrained,0,0.31625
fasttext_pretrained,1,0.31625
glove_pretrained,0,0.4888666666666667
glove_pretrained,1,0.4888666666666667
logistic_regression,0,0.8735
logistic_regression,1,0.8735
