embedding,clustering,k,alpha,mean,std
bge,dbscan,2,0.25,0.4805,0.02475701920668155
bge,dbscan,2,0.5,0.4805,0.02475701920668155
bge,dbscan,2,0.75,0.4805,0.02475701920668155
bge,hac,2,0.25,0.37779999999999997,0.05266811179451946
bge,hac,2,0.5,0.37779999999999997,0.05266811179451946
bge,hac,2,0.75,0.38453333333333334,0.058799348068948286
bge,hac,3,0.25,0.2827,
bge,hac,3,0.5,0.2827,
bge,hac,3,0.75,0.2827,
bge,hdbscan,2,0.25,0.4749,
bge,hdbscan,2,0.5,0.4749,
bge,hdbscan,2,0.75,0.4749,
bge,kmeans,2,0.25,0.35169999999999996,0.05442315683603812
bge,kmeans,2,0.5,0.35169999999999996,0.05442315683603812
bge,kmeans,2,0.75,0.41663333333333336,0.0660115393952704
bge,kmeans,3,0.25,0.2353,
bge,kmeans,3,0.5,0.2353,
bge,kmeans,3,0.75,0.2353,
bge,spectral,2,0.25,0.4811,0.025593553875927443
bge,spectral,2,0.5,0.4811,0.025593553875927443
bge,spectral,2,0.75,0.4811,0.025593553875927443
bge,spectral,3,0.25,0.2999,
bge,spectral,3,0.5,0.2999,
bge,spectral,3,0.75,0.2999,
e5,hac,2,0.25,0.42063333333333336,0.023844985496605634
e5,hac,2,0.5,0.42063333333333336,0.023844985496605634
e5,hac,2,0.75,0.42063333333333336,0.023844985496605634
e5,hac,3,0.25,0.2987,
e5,hac,3,0.5,0.2987,
e5,hac,3,0.75,0.2987,
e5,kmeans,2,0.25,0.41196666666666665,0.06776520739533919
e5,kmeans,2,0.5,0.41196666666666665,0.06776520739533919
e5,kmeans,2,0.75,0.41196666666666665,0.06776520739533919
e5,kmeans,3,0.25,0.2677,
e5,kmeans,3,0.5,0.2677,
e5,kmeans,3,0.75,0.2677,
e5,spectral,2,0.25,0.4811,0.025593553875927443
e5,spectral,2,0.5,0.4811,0.025593553875927443
e5,spectral,2,0.75,0.4811,0.025593553875927443
e5,spectral,3,0.25,0.3003,
e5,spectral,3,0.5,0.3003,
e5,spectral,3,0.75,0.3003,
fasttext_pretrained,dbscan,3,0.25,0.1132,
fasttext_pretrained,dbscan,3,0.5,0.1131,
fasttext_pretrained,dbscan,3,0.75,0.2997,
fasttext_pretrained,hac,2,0.25,0.18013333333333334,0.09263311143070459
fasttext_pretrained,hac,2,0.5,0.37576666666666664,0.1289936561747644
fasttext_pretrained,hac,2,0.75,0.44320000000000004,0.03279862802008645
fasttext_pretrained,hac,3,0.25,0.1221,
fasttext_pretrained,hac,3,0.5,0.1221,
fasttext_pretrained,hac,3,0.75,0.2902,
fasttext_pretrained,hdbscan,2,0.25,0.2785,
fasttext_pretrained,hdbscan,2,0.5,0.2785,
fasttext_pretrained,hdbscan,2,0.75,0.2785,
fasttext_pretrained,kmeans,2,0.25,0.2971666666666667,0.09491977314202418
fasttext_pretrained,kmeans,2,0.5,0.3892,0.04010336644223274
fasttext_pretrained,kmeans,2,0.75,0.3892,0.04010336644223274
fasttext_pretrained,kmeans,3,0.25,0.1873,
fasttext_pretrained,kmeans,3,0.5,0.2909,
fasttext_pretrained,kmeans,3,0.75,0.2909,
fasttext_pretrained,spectral,2,0.25,0.21766666666666667,0.2472861769960734
fasttext_pretrained,spectral,2,0.5,0.37956666666666666,0.19900141540535168
fasttext_pretrained,spectral,2,0.75,0.48033333333333333,0.024593969450524528
fasttext_pretrained,spectral,3,0.25,0.1028,
fasttext_pretrained,spectral,3,0.5,0.1,
fasttext_pretrained,spectral,3,0.75,0.2989,
glove_pretrained,dbscan,2,0.25,0.0847,0.10238906191581207
glove_pretrained,dbscan,2,0.5,0.0847,0.10238906191581207
glove_pretrained,dbscan,2,0.75,0.3276,0.2411234123846127
glove_pretrained,hac,2,0.25,0.22646666666666668,0.11786773660902007
glove_pretrained,hac,2,0.5,0.22240000000000001,0.11146447864678682
glove_pretrained,hac,2,0.75,0.33890000000000003,0.12700011811018133
glove_pretrained,hac,3,0.25,0.1432,
glove_pretrained,hac,3,0.5,0.1432,
glove_pretrained,hac,3,0.75,0.1432,
glove_pretrained,hdbscan,2,0.25,0.0312,
glove_pretrained,hdbscan,2,0.5,0.0312,
glove_pretrained,hdbscan,2,0.75,0.3749,
glove_pretrained,kmeans,2,0.25,0.2798,0.08718503311922293
glove_pretrained,kmeans,2,0.5,0.2798,0.08718503311922293
glove_pretrained,kmeans,2,0.75,0.3647666666666667,0.06789995090818059
glove_pretrained,kmeans,3,0.25,0.1772,
glove_pretrained,kmeans,3,0.5,0.1772,
glove_pretrained,kmeans,3,0.75,0.1979,
glove_pretrained,spectral,2,0.25,0.06533333333333334,0.07737702070597789
glove_pretrained,spectral,2,0.5,0.06533333333333334,0.07737702070597789
glove_pretrained,spectral,2,0.75,0.38083333333333336,0.19708072796022785
glove_pretrained,spectral,3,0.25,0.0048,
glove_pretrained,spectral,3,0.5,0.0048,
glove_pretrained,spectral,3,0.75,0.1019,
gte,hac,2,0.25,0.43206666666666665,0.07344837189028315
gte,hac,2,0.5,0.43206666666666665,0.07344837189028315
gte,hac,2,0.75,0.43206666666666665,0.07344837189028315
gte,hac,3,0.25,0.3264,
gte,hac,3,0.5,0.3264,
gte,hac,3,0.75,0.3264,
gte,kmeans,2,0.25,0.3826666666666667,0.007328255817951031
gte,kmeans,2,0.5,0.41956666666666664,0.06538396847342116
gte,kmeans,2,0.75,0.41956666666666664,0.06538396847342116
gte,kmeans,3,0.25,0.2424,
gte,kmeans,3,0.5,0.2424,
gte,kmeans,3,0.75,0.2654,
gte,spectral,2,0.25,0.3464333333333333,0.17630043486427743
gte,spectral,2,0.5,0.3464333333333333,0.17630043486427743
gte,spectral,2,0.75,0.44586666666666663,0.05515109548624883
gte,spectral,3,0.25,0.1022,
gte,spectral,3,0.5,0.1022,
gte,spectral,3,0.75,0.2997,
instructor,dbscan,2,0.25,0.0269,
instructor,dbscan,2,0.5,0.0269,
instructor,dbscan,2,0.75,0.0269,
instructor,hac,2,0.25,0.40233333333333327,0.04283051871426886
instructor,hac,2,0.5,0.40233333333333327,0.04283051871426886
instructor,hac,2,0.75,0.40796666666666664,0.04428547542178286
instructor,hac,3,0.25,0.2446,
instructor,hac,3,0.5,0.2785,
instructor,hac,3,0.75,0.2317,
instructor,hdbscan,2,0.25,0.4458,
instructor,hdbscan,2,0.5,0.4458,
instructor,hdbscan,2,0.75,0.4458,
instructor,kmeans,2,0.25,0.41983333333333334,0.07848212110623241
