embedding,k,difference
bge,2,0.06173000000000006
bge,3,0.06854000000000005
bge,4,0.07484000000000002
bge,5,0.03389999999999993
e5,2,0.04662999999999995
e5,3,0.05714000000000008
e5,4,0.053039999999999865
e5,5,0.0025999999999999357
fasttext_pretrained,2,0.030179999999999985
fasttext_pretrained,3,0.036679999999999935
fasttext_pretrained,4,0.046499999999999986
fasttext_pretrained,5,0.1513
glove_pretrained,2,0.04193999999999998
glove_pretrained,3,0.06089
glove_pretrained,4,0.046599999999999975
glove_pretrained,5,0.0383
gte,2,0.07203999999999999
gte,3,0.08459000000000005
gte,4,0.08040000000000003
gte,5,0.06280000000000008
instructor,2,0.049470000000000125
instructor,3,0.06956999999999991
instructor,4,0.08677999999999997
instructor,5,0.09819999999999995
minilm,2,0.04077999999999993
minilm,3,0.07798999999999989
minilm,4,0.09595999999999999
minilm,5,0.10290000000000005
mpnet,2,0.054730000000000056
mpnet,3,0.06037999999999999
mpnet,4,0.051059999999999994
mpnet,5,0.08839999999999998
sbert,2,0.04579999999999995
sbert,3,0.048879999999999924
sbert,4,0.07794000000000012
sbert,5,0.08660000000000007
sroberta,2,0.06257000000000001
sroberta,3,0.06706000000000001
sroberta,4,0.0771599999999999
sroberta,5,0.060299999999999965
w2v_pretrained,2,0.05730000000000002
w2v_pretrained,3,0.06382999999999994
w2v_pretrained,4,0.10007999999999995
w2v_pretrained,5,0.0499
w2v_self,2,0.04074
w2v_self,3,0.043789999999999996
w2v_self,4,0.06026000000000009
w2v_self,5,0.03479999999999994
