embedding,clustering,k,mean,std
bge,dbscan,2,0.25035,0.018031222920256967
bge,dbscan,3,0.15864999999999999,0.009047467417275768
bge,hac,2,0.71414,0.11387409421520485
bge,hac,3,0.60023,0.08465198100983158
bge,hac,4,0.52472,0.058023029910545004
bge,hac,5,0.5138,
bge,hdbscan,2,0.4426,0.10187136496582345
bge,hdbscan,3,0.2808333333333333,0.09956969083678695
bge,hdbscan,4,0.12536666666666665,0.013507158595845887
bge,kmeans,2,0.7758700000000001,0.1190673950145696
bge,kmeans,3,0.6687700000000001,0.10653144606171457
bge,kmeans,4,0.59956,0.08175871818956068
bge,kmeans,5,0.5477,
bge,spectral,2,0.74956,0.132312451752996
bge,spectral,3,0.63954,0.10374545987388772
bge,spectral,4,0.57812,0.06790288653658255
bge,spectral,5,0.5328,
e5,dbscan,2,0.3479833333333333,0.12122315647873004
e5,dbscan,3,0.17754999999999999,0.0475783879508333
e5,dbscan,4,0.0855,
e5,hac,2,0.74141,0.11530500085521976
e5,hac,3,0.61213,0.1136915520168495
e5,hac,4,0.5350400000000001,0.06608814568438129
e5,hac,5,0.5187,
e5,hdbscan,2,0.4353777777777778,0.1075520197134598
e5,hdbscan,3,0.20905,0.008453993139339542
e5,hdbscan,4,0.2328,
e5,kmeans,2,0.78804,0.10757413154554298
e5,kmeans,3,0.66927,0.10193827162661835
e5,kmeans,4,0.5880799999999999,0.09605767538307389
e5,kmeans,5,0.5213,
e5,spectral,2,0.6966699999999999,0.18605232268847863
e5,spectral,3,0.58534,0.10610534806921323
e5,spectral,4,0.5157200000000001,0.03464862190621731
e5,spectral,5,0.4235,
fasttext_pretrained,dbscan,2,0.41195000000000004,0.06754566356670628
fasttext_pretrained,dbscan,3,0.1902,
fasttext_pretrained,hac,2,0.68752,0.13758539005125348
fasttext_pretrained,hac,3,0.51702,0.09313408255484848
fasttext_pretrained,hac,4,0.40796,0.048695359121789
fasttext_pretrained,hac,5,0.3047,
fasttext_pretrained,hdbscan,2,0.4252888888888889,0.1050064455693607
fasttext_pretrained,kmeans,2,0.7177,0.14859791384807525
fasttext_pretrained,kmeans,3,0.5537,0.11705799132623683
fasttext_pretrained,kmeans,4,0.45446,0.02876322304610523
fasttext_pretrained,kmeans,5,0.456,
fasttext_pretrained,spectral,2,0.60151,0.22896058588518878
fasttext_pretrained,spectral,3,0.43443,0.14769258651371475
fasttext_pretrained,spectral,4,0.3771,0.07922199820756858
fasttext_pretrained,spectral,5,0.2201,
glove_pretrained,dbscan,2,0.3522625,0.07996849267948328
glove_pretrained,dbscan,3,0.1919,0.06287575049253885
glove_pretrained,dbscan,4,0.1252,
glove_pretrained,hac,2,0.70875,0.08968923198095369
glove_pretrained,hac,3,0.53501,0.0974106365399134
glove_pretrained,hac,4,0.46794,0.1016168686783843
glove_pretrained,hac,5,0.4439,
glove_pretrained,hdbscan,2,0.4262111111111111,0.08388099374179535
glove_pretrained,hdbscan,3,0.27065,0.09524728342582797
glove_pretrained,kmeans,2,0.75069,0.11383347925808121
glove_pretrained,kmeans,3,0.5959,0.0904434015773892
glove_pretrained,kmeans,4,0.51454,0.06299728565581218
glove_pretrained,kmeans,5,0.4822,
glove_pretrained,spectral,2,0.75841,0.121596038404035
glove_pretrained,spectral,3,0.61427,0.11540455459912416
glove_pretrained,spectral,4,0.51852,0.06252081253470718
glove_pretrained,spectral,5,0.5035,
gte,dbscan,2,0.41123333333333334,0.1697218155296091
gte,dbscan,3,0.216,0.07226631303726516
gte,dbscan,4,0.0922,
gte,hac,2,0.71051,0.11316227728355421
gte,hac,3,0.58363,0.08389739831749524
gte,hac,4,0.51106,0.05113221098290196
gte,hac,5,0.47,
gte,hdbscan,2,0.4557333333333334,0.11870943517682156
gte,hdbscan,3,0.27865,0.06586861923556621
gte,hdbscan,4,0.1729,0.09857068529740474
gte,kmeans,2,0.78255,0.12160846324714959
gte,kmeans,3,0.66822,0.11514823103769813
gte,kmeans,4,0.59146,0.09277450080706443
gte,kmeans,5,0.5328,
