k,unsupervised_method,gap
2,bge,0.2296333333333333
2,bge,0.3323333333333333
2,bge,0.2352333333333333
2,bge,0.3584333333333333
2,bge,0.22903333333333326
2,e5,0.2894999999999999
2,e5,0.29816666666666664
2,e5,0.22903333333333326
2,fasttext_pretrained,0.5299999999999999
2,fasttext_pretrained,0.6800333333333333
2,fasttext_pretrained,0.4129666666666666
2,fasttext_pretrained,0.6456666666666666
2,glove_pretrained,0.6254333333333333
2,glove_pretrained,0.4836666666666666
2,glove_pretrained,0.6789333333333333
2,glove_pretrained,0.4303333333333333
2,glove_pretrained,0.6447999999999999
2,gte,0.27806666666666663
2,gte,0.3274666666666666
2,gte,0.36369999999999997
2,instructor,0.6832333333333332
2,instructor,0.3078
2,instructor,0.2643333333333333
2,instructor,0.29029999999999995
2,instructor,0.22906666666666659
2,minilm,0.4759333333333333
2,minilm,0.3357666666666666
2,minilm,0.25523333333333326
2,minilm,0.36089999999999994
2,minilm,0.2642666666666666
2,mpnet,0.6854333333333333
2,mpnet,0.3523
2,mpnet,0.2643333333333333
2,mpnet,0.3685
2,mpnet,0.26399999999999996
2,sbert,0.3185666666666666
2,sbert,0.3434666666666666
2,sbert,0.2805999999999999
2,sbert,0.36066666666666664
2,sroberta,0.6930333333333333
2,sroberta,0.3033999999999999
2,sroberta,0.2628333333333333
2,sroberta,0.3859333333333333
2,sroberta,0.2622333333333333
2,w2v_pretrained,0.6637333333333333
2,w2v_pretrained,0.30139999999999995
2,w2v_pretrained,0.3225666666666666
2,w2v_pretrained,0.5683999999999999
2,w2v_self,0.6283333333333333
2,w2v_self,0.3690333333333333
2,w2v_self,0.6903333333333332
2,w2v_self,0.3445333333333333
2,w2v_self,0.5837333333333333
3,bge,0.36939999999999995
3,bge,0.35389999999999994
3,bge,0.28929999999999995
3,e5,0.2904999999999999
3,e5,0.32149999999999995
3,e5,0.28889999999999993
3,fasttext_pretrained,0.5743999999999999
3,fasttext_pretrained,0.5682999999999999
3,fasttext_pretrained,0.42229999999999995
3,fasttext_pretrained,0.5843999999999999
3,glove_pretrained,0.44599999999999995
3,glove_pretrained,0.4119999999999999
3,glove_pretrained,0.5843999999999999
3,gte,0.2627999999999999
3,gte,0.34679999999999994
3,gte,0.48699999999999993
3,instructor,0.3445999999999999
3,instructor,0.33369999999999994
3,instructor,0.28929999999999995
3,minilm,0.28879999999999995
3,minilm,0.3692
3,minilm,0.3445999999999999
3,minilm,0.2894999999999999
3,mpnet,0.4039999999999999
3,mpnet,0.34429999999999994
3,mpnet,0.28889999999999993
3,sbert,0.3353999999999999
3,sbert,0.3445999999999999
3,sbert,0.48829999999999996
3,sroberta,0.32419999999999993
3,sroberta,0.37909999999999994
3,sroberta,0.28959999999999997
3,w2v_pretrained,0.39159999999999995
3,w2v_pretrained,0.29519999999999996
3,w2v_pretrained,0.5843999999999999
3,w2v_self,0.35169999999999996
3,w2v_self,0.2834999999999999
3,w2v_self,0.3596999999999999
