method,class,avg_binary_f1
sbert,0,0.36195
sbert,1,0.4217875
sbert,2,0.3691875
sroberta,0,0.4035166666666667
sroberta,1,0.3406625
sroberta,2,0.356925
mpnet,0,0.3837166666666667
mpnet,1,0.3300875
mpnet,2,0.35895
minilm,0,0.39578571428571424
minilm,1,0.34392500000000004
minilm,2,0.37127777777777776
e5,0,0.4447166666666667
e5,1,0.42916666666666664
e5,2,0.4398166666666666
instructor,0,0.44913333333333333
instructor,1,0.377125
instructor,2,0.381625
bge,0,0.4122
bge,1,0.4282333333333333
bge,2,0.4383
gte,0,0.38525000000000004
gte,1,0.4049833333333333
gte,2,0.37093333333333334
w2v_self,0,0.25827500000000003
w2v_self,1,0.1660625
w2v_self,2,0.24633750000000001
w2v_pretrained,0,0.32075000000000004
w2v_pretrained,1,0.23965714285714287
w2v_pretrained,2,0.3027
fasttext_pretrained,0,0.17190000000000003
fasttext_pretrained,1,0.12854285714285715
fasttext_pretrained,2,0.1970857142857143
glove_pretrained,0,0.14931250000000001
glove_pretrained,1,0.13007500000000002
glove_pretrained,2,0.19946250000000001
logistic_regression,0,0.726
logistic_regression,1,0.64585
logistic_regression,2,0.7585500000000001
