embedding,k,difference
bge,2,-0.026100000000000012
bge,3,0.015500000000000014
e5,2,-0.008666666666666711
e5,3,-0.031000000000000028
fasttext_pretrained,2,0.11703333333333335
fasttext_pretrained,3,0.146
glove_pretrained,2,0.053333333333333316
glove_pretrained,3,0.034
gte,2,-0.049399999999999944
gte,3,-0.08400000000000002
instructor,2,0.01750000000000007
instructor,3,0.010899999999999993
minilm,2,-0.02513333333333334
minilm,3,0.02460000000000001
mpnet,2,-0.016199999999999992
mpnet,3,0.0597
sbert,2,0.06286666666666668
sbert,3,-0.009200000000000014
sroberta,2,-0.0825333333333334
sroberta,3,-0.054900000000000004
w2v_pretrained,2,-0.021166666666666667
w2v_pretrained,3,0.09639999999999999
w2v_self,2,0.024500000000000022
w2v_self,3,0.06820000000000004
