k,method,rank,mean_f1
2,logistic_regression,1,0.7101333333333333
2,bge,2,0.4811
2,e5,3,0.4811
2,instructor,4,0.4810666666666667
2,bge,5,0.4805
2,bge,6,0.4749
2,minilm,7,0.4549
2,sroberta,8,0.44789999999999996
2,sroberta,9,0.4473
2,mpnet,10,0.4461333333333333
2,minilm,11,0.4458666666666667
2,mpnet,12,0.4458
2,instructor,13,0.4458
2,gte,14,0.43206666666666665
2,sbert,15,0.4295333333333334
2,e5,16,0.42063333333333336
2,instructor,17,0.41983333333333334
2,e5,18,0.41196666666666665
2,w2v_pretrained,19,0.40873333333333334
2,sroberta,20,0.4067333333333334
2,instructor,21,0.40233333333333327
2,sbert,22,0.3915666666666667
2,w2v_pretrained,23,0.38756666666666667
2,gte,24,0.3826666666666667
2,bge,25,0.37779999999999997
2,minilm,26,0.3743666666666667
2,sbert,27,0.3666666666666667
2,w2v_self,28,0.3656
2,mpnet,29,0.3578333333333333
2,bge,30,0.35169999999999996
2,sbert,31,0.34946666666666665
2,minilm,32,0.34923333333333334
2,gte,33,0.3464333333333333
2,mpnet,34,0.3416333333333333
2,w2v_self,35,0.34109999999999996
2,sroberta,36,0.3242
2,fasttext_pretrained,37,0.2971666666666667
2,glove_pretrained,38,0.2798
2,minilm,39,0.2342
2,glove_pretrained,40,0.22646666666666668
2,fasttext_pretrained,41,0.18013333333333334
2,w2v_pretrained,42,0.14173333333333335
2,w2v_self,43,0.12639999999999998
2,glove_pretrained,44,0.0847
2,w2v_self,45,0.0818
2,glove_pretrained,46,0.06533333333333334
2,fasttext_pretrained,47,0.06446666666666666
2,w2v_pretrained,48,0.0464
2,glove_pretrained,49,0.0312
2,fasttext_pretrained,50,0.0301
2,instructor,51,0.0269
2,mpnet,52,0.0247
2,w2v_self,53,0.0198
2,sroberta,54,0.0171
3,logistic_regression,1,0.5892
3,gte,2,0.3264
3,w2v_self,3,0.3057
3,minilm,4,0.3004
3,e5,5,0.3003
3,mpnet,6,0.3003
3,bge,7,0.2999
3,instructor,8,0.2999
3,minilm,9,0.2997
3,sroberta,10,0.2996
3,e5,11,0.2987
3,w2v_pretrained,12,0.294
3,e5,13,0.2677
3,sroberta,14,0.265
3,instructor,15,0.2555
3,sbert,16,0.2538
3,mpnet,17,0.2449
3,instructor,18,0.2446
3,minilm,19,0.2446
3,sbert,20,0.2446
3,gte,21,0.2424
3,w2v_self,22,0.2375
3,bge,23,0.2353
3,w2v_self,24,0.2295
3,minilm,25,0.22
3,bge,26,0.2198
3,sroberta,27,0.2101
3,w2v_pretrained,28,0.1976
3,mpnet,29,0.1852
3,glove_pretrained,30,0.1772
3,fasttext_pretrained,31,0.1669
3,glove_pretrained,32,0.1432
3,gte,33,0.1022
3,sbert,34,0.1009
3,fasttext_pretrained,35,0.0209
3,fasttext_pretrained,36,0.0148
3,glove_pretrained,37,0.0048
3,fasttext_pretrained,38,0.0048
3,w2v_pretrained,39,0.0048
