k,class_subset,embedding,clustering,precision,recall,f1,alpha
2,"[0, 1]",sbert,kmeans,0.4984,0.3752,0.3887,0.25
2,"[0, 1]",sbert,kmeans,0.4984,0.3753,0.3888,0.5
2,"[0, 1]",sbert,kmeans,0.4984,0.3753,0.3888,0.75
2,"[0, 1]",sbert,hac,0.5021,0.6633,0.2719,0.25
2,"[0, 1]",sbert,hac,0.5021,0.6633,0.2719,0.5
2,"[0, 1]",sbert,hac,0.5021,0.6633,0.2719,0.75
2,"[0, 1]",sbert,spectral,0.4985,0.4982,0.4984,0.25
2,"[0, 1]",sbert,spectral,0.4985,0.4982,0.4984,0.5
2,"[0, 1]",sbert,spectral,0.4985,0.4982,0.4984,0.75
2,"[0, 1]",sbert,dbscan,0.4985,0.4998,0.4992,0.25
2,"[0, 1]",sbert,dbscan,0.4985,0.4998,0.4992,0.5
2,"[0, 1]",sbert,dbscan,0.4985,0.4998,0.4992,0.75
2,"[0, 2]",sbert,kmeans,0.5374,0.5615,0.5169,0.25
2,"[0, 2]",sbert,kmeans,0.5374,0.5616,0.517,0.5
2,"[0, 2]",sbert,kmeans,0.5374,0.5616,0.517,0.75
2,"[0, 2]",sbert,hac,0.5473,0.5717,0.4108,0.25
2,"[0, 2]",sbert,hac,0.5473,0.5717,0.4108,0.5
2,"[0, 2]",sbert,hac,0.5473,0.5717,0.4108,0.75
2,"[0, 2]",sbert,spectral,0.5325,0.501,0.1526,0.25
2,"[0, 2]",sbert,spectral,0.5325,0.501,0.1526,0.5
2,"[0, 2]",sbert,spectral,0.5325,0.501,0.1526,0.75
2,"[0, 2]",sbert,dbscan,0.5682,0.5035,0.1571,0.25
2,"[0, 2]",sbert,dbscan,0.5682,0.5035,0.1571,0.5
2,"[0, 2]",sbert,dbscan,0.5682,0.5035,0.1571,0.75
2,"[1, 2]",sbert,kmeans,0.4901,0.3319,0.383,0.25
2,"[1, 2]",sbert,kmeans,0.4901,0.3319,0.383,0.5
2,"[1, 2]",sbert,kmeans,0.4901,0.3319,0.383,0.75
2,"[1, 2]",sbert,hac,0.4904,0.3631,0.4173,0.25
2,"[1, 2]",sbert,hac,0.4904,0.3631,0.4173,0.5
2,"[1, 2]",sbert,hac,0.4904,0.3631,0.4173,0.75
2,"[1, 2]",sbert,spectral,0.4908,0.3513,0.3974,0.25
2,"[1, 2]",sbert,spectral,0.4908,0.3513,0.3974,0.5
2,"[1, 2]",sbert,spectral,0.4908,0.3513,0.3974,0.75
2,"[1, 2]",sbert,dbscan,0.5245,0.5151,0.5184,0.25
2,"[1, 2]",sbert,dbscan,0.5245,0.5151,0.5184,0.5
2,"[1, 2]",sbert,dbscan,0.5245,0.5151,0.5184,0.75
3,"[0, 1, 2]",sbert,kmeans,0.347,0.5117,0.2446,0.25
3,"[0, 1, 2]",sbert,kmeans,0.347,0.5117,0.2446,0.5
3,"[0, 1, 2]",sbert,kmeans,0.347,0.5117,0.2446,0.75
3,"[0, 1, 2]",sbert,hac,0.37,0.5186,0.2538,0.25
3,"[0, 1, 2]",sbert,hac,0.37,0.5186,0.2538,0.5
3,"[0, 1, 2]",sbert,hac,0.37,0.5186,0.2538,0.75
3,"[0, 1, 2]",sbert,spectral,0.3436,0.3336,0.1009,0.25
3,"[0, 1, 2]",sbert,spectral,0.3436,0.3336,0.1009,0.5
3,"[0, 1, 2]",sbert,spectral,0.3436,0.3336,0.1009,0.75
2,"[0, 1]",sroberta,kmeans,0.5016,0.6212,0.2675,0.25
2,"[0, 1]",sroberta,kmeans,0.5016,0.6212,0.2675,0.5
2,"[0, 1]",sroberta,kmeans,0.5016,0.6212,0.2675,0.75
2,"[0, 1]",sroberta,hac,0.5027,0.7216,0.3799,0.25
2,"[0, 1]",sroberta,hac,0.5027,0.7216,0.3799,0.5
2,"[0, 1]",sroberta,hac,0.5027,0.7216,0.3799,0.75
2,"[0, 1]",sroberta,spectral,0.4985,0.4976,0.4981,0.25
2,"[0, 1]",sroberta,spectral,0.4985,0.4976,0.4981,0.5
2,"[0, 1]",sroberta,spectral,0.4985,0.4976,0.4981,0.75
2,"[0, 2]",sroberta,kmeans,0.5301,0.5491,0.5102,0.25
2,"[0, 2]",sroberta,kmeans,0.5301,0.5491,0.5102,0.5
2,"[0, 2]",sroberta,kmeans,0.4699,0.4509,0.3638,0.75
2,"[0, 2]",sroberta,hac,0.5162,0.5283,0.4605,0.25
2,"[0, 2]",sroberta,hac,0.5162,0.5283,0.4605,0.5
2,"[0, 2]",sroberta,hac,0.5162,0.5283,0.4605,0.75
2,"[0, 2]",sroberta,spectral,0.413,0.4976,0.4513,0.25
2,"[0, 2]",sroberta,spectral,0.413,0.4976,0.4513,0.5
2,"[0, 2]",sroberta,spectral,0.413,0.4976,0.4513,0.75
2,"[1, 2]",sroberta,kmeans,0.5108,0.6949,0.3413,0.25
2,"[1, 2]",sroberta,kmeans,0.5108,0.6949,0.3413,0.5
2,"[1, 2]",sroberta,kmeans,0.5108,0.6949,0.3413,0.75
2,"[1, 2]",sroberta,hac,0.4899,0.3278,0.3798,0.25
2,"[1, 2]",sroberta,hac,0.4899,0.3278,0.3798,0.5
2,"[1, 2]",sroberta,hac,0.4899,0.3278,0.3798,0.75
2,"[1, 2]",sroberta,spectral,0.4895,0.3302,0.3943,0.25
2,"[1, 2]",sroberta,spectral,0.4895,0.3302,0.3943,0.5
2,"[1, 2]",sroberta,spectral,0.4895,0.3302,0.3943,0.75
2,"[1, 2]",sroberta,dbscan,0.507,0.5016,0.0171,0.25
2,"[1, 2]",sroberta,dbscan,0.507,0.5016,0.0171,0.5
2,"[1, 2]",sroberta,dbscan,0.507,0.5016,0.0171,0.75
2,"[1, 2]",sroberta,hdbscan,0.5166,0.755,0.4473,0.25
2,"[1, 2]",sroberta,hdbscan,0.5166,0.755,0.4473,0.5
2,"[1, 2]",sroberta,hdbscan,0.5166,0.755,0.4473,0.75
3,"[0, 1, 2]",sroberta,kmeans,0.3582,0.5166,0.232,0.25
3,"[0, 1, 2]",sroberta,kmeans,0.3582,0.5166,0.232,0.5
3,"[0, 1, 2]",sroberta,kmeans,0.3118,0.4695,0.2101,0.75
3,"[0, 1, 2]",sroberta,hac,0.3603,0.4589,0.265,0.25
3,"[0, 1, 2]",sroberta,hac,0.3603,0.4589,0.265,0.5
3,"[0, 1, 2]",sroberta,hac,0.3603,0.4589,0.265,0.75
3,"[0, 1, 2]",sroberta,spectral,0.2744,0.33,0.2996,0.25
3,"[0, 1, 2]",sroberta,spectral,0.2744,0.33,0.2996,0.5
3,"[0, 1, 2]",sroberta,spectral,0.2744,0.33,0.2996,0.75
2,"[0, 1]",mpnet,kmeans,0.5017,0.6363,0.2837,0.25
2,"[0, 1]",mpnet,kmeans,0.5017,0.6363,0.2837,0.5
2,"[0, 1]",mpnet,kmeans,0.5017,0.6363,0.2837,0.75
2,"[0, 1]",mpnet,hac,0.5014,0.6088,0.2536,0.25
2,"[0, 1]",mpnet,hac,0.5014,0.6088,0.2536,0.5
2,"[0, 1]",mpnet,hac,0.4986,0.3912,0.4005,0.75
2,"[0, 1]",mpnet,spectral,0.4985,0.4982,0.4984,0.25
2,"[0, 1]",mpnet,spectral,0.4985,0.4982,0.4984,0.5
2,"[0, 1]",mpnet,spectral,0.4985,0.4982,0.4984,0.75
