method,class,avg_binary_f1
sbert,0,0.48555000000000004
sbert,1,0.48555000000000004
sroberta,0,0.39648
sroberta,1,0.39648
mpnet,0,0.44572
mpnet,1,0.44572
minilm,0,0.4609666666666667
minilm,1,0.4609666666666667
e5,0,0.4237
e5,1,0.4237
instructor,0,0.42166
instructor,1,0.42166
bge,0,0.48046
bge,1,0.48046
gte,0,0.49205000000000004
gte,1,0.49205000000000004
w2v_self,0,0.382525
w2v_self,1,0.382525
w2v_pretrained,0,0.45485
w2v_pretrained,1,0.45485
fasttext_pretrained,0,0.46302000000000004
fasttext_pretrained,1,0.46302000000000004
glove_pretrained,0,0.4506
glove_pretrained,1,0.4506
logistic_regression,0,0.758
logistic_regression,1,0.758
