embedding,clustering,k,mean,std
bge,dbscan,2,0.4805,0.02475701920668155
bge,hac,2,0.3966,0.03811941762409283
bge,hac,3,0.2469,
bge,hdbscan,2,0.4749,
bge,kmeans,2,0.41663333333333336,0.0660115393952704
bge,kmeans,3,0.2728,
bge,spectral,2,0.4811,0.025593553875927443
bge,spectral,3,0.2999,
e5,hac,2,0.43039999999999995,0.031487775405703106
e5,hac,3,0.2987,
e5,kmeans,2,0.41196666666666665,0.06776520739533919
e5,kmeans,3,0.2677,
e5,spectral,2,0.4811,0.025593553875927443
e5,spectral,3,0.3003,
fasttext_pretrained,dbscan,3,0.2997,
fasttext_pretrained,hac,2,0.44320000000000004,0.03279862802008645
fasttext_pretrained,hac,3,0.2902,
fasttext_pretrained,hdbscan,2,0.2785,
fasttext_pretrained,kmeans,2,0.39819999999999994,0.03810091862409621
fasttext_pretrained,kmeans,3,0.2909,
fasttext_pretrained,spectral,2,0.48033333333333333,0.024593969450524528
fasttext_pretrained,spectral,3,0.3002,
glove_pretrained,dbscan,2,0.4747,0.03309259735953045
glove_pretrained,hac,2,0.4190666666666667,0.06041641609143444
glove_pretrained,hac,3,0.3395,
glove_pretrained,hdbscan,2,0.3749,
glove_pretrained,kmeans,2,0.4101666666666666,0.03174024784612329
glove_pretrained,kmeans,3,0.299,
glove_pretrained,spectral,2,0.48016666666666663,0.025243084861667237
glove_pretrained,spectral,3,0.3002,
gte,hac,2,0.43206666666666665,0.07344837189028315
gte,hac,3,0.3264,
gte,kmeans,2,0.41956666666666664,0.06538396847342116
gte,kmeans,3,0.2654,
gte,spectral,2,0.44586666666666663,0.05515109548624883
gte,spectral,3,0.2997,
instructor,dbscan,2,0.0269,
instructor,hac,2,0.40796666666666664,0.04428547542178286
instructor,hac,3,0.2785,
instructor,hdbscan,2,0.4458,
instructor,kmeans,2,0.41983333333333334,0.07848212110623241
instructor,kmeans,3,0.2652,
instructor,spectral,2,0.4810666666666667,0.025468673568392487
instructor,spectral,3,0.2999,
logistic_regression,supervised,2,0.7101333333333333,0.11600234193038232
logistic_regression,supervised,3,0.5892,
minilm,dbscan,2,0.2342,0.3070257643911989
minilm,dbscan,3,0.3004,
minilm,hac,2,0.39640000000000003,0.07814198615341181
minilm,hac,3,0.2734,
minilm,hdbscan,2,0.4549,
minilm,kmeans,2,0.4216333333333333,0.06445000646495959
minilm,kmeans,3,0.2204,
minilm,spectral,2,0.4458666666666667,0.05567964918471856
minilm,spectral,3,0.2997,
mpnet,dbscan,2,0.0247,
mpnet,hac,2,0.4068,0.02436862737209462
mpnet,hac,3,0.3097,
mpnet,hdbscan,2,0.4458,
mpnet,kmeans,2,0.41209999999999997,0.07312585042240537
mpnet,kmeans,3,0.2449,
mpnet,spectral,2,0.4461333333333333,0.05560704391831429
mpnet,spectral,3,0.3003,
sbert,dbscan,2,0.4900333333333333,0.03389282126547349
sbert,hac,2,0.41183333333333333,0.021624600188982306
sbert,hac,3,0.2545,
sbert,kmeans,2,0.42956666666666665,0.07577310428729533
sbert,kmeans,3,0.2446,
sbert,spectral,2,0.45,0.05063082065303704
sbert,spectral,3,0.3017,
sroberta,dbscan,2,0.0171,
sroberta,hac,2,0.4067333333333334,0.04656332605531238
sroberta,hac,3,0.265,
sroberta,hdbscan,2,0.4473,
sroberta,kmeans,2,0.41429999999999995,0.0867473918916298
sroberta,kmeans,3,0.232,
sroberta,spectral,2,0.44789999999999996,0.05198345890761794
sroberta,spectral,3,0.2996,
w2v_pretrained,dbscan,2,0.0464,
w2v_pretrained,hac,2,0.4277333333333333,0.07931439549875756
w2v_pretrained,hac,3,0.3133,
w2v_pretrained,kmeans,2,0.40443333333333337,0.09444523986593148
w2v_pretrained,kmeans,3,0.282,
w2v_pretrained,spectral,2,0.4499333333333333,0.048864336006266745
w2v_pretrained,spectral,3,0.2997,
w2v_self,dbscan,2,0.47495,0.03302188668141176
w2v_self,hac,2,0.43829999999999997,0.09012363729899052
w2v_self,hac,3,0.1964,
w2v_self,hdbscan,2,0.4935,
w2v_self,kmeans,2,0.3656,0.1531535503995908
w2v_self,kmeans,3,0.1745,
w2v_self,spectral,2,0.38893333333333335,0.1501972813779708
w2v_self,spectral,3,0.2295,
